ID,领域,模块,功能,对标Obsidian,建议层,里程碑,优先级,状态,备注
UI-013,界面,交互,右键菜单（文件/编辑区/链接）,Context menus,renderer,V1,P1,todo,
UI-014,界面,交互,拖拽文件到窗口导入/打开,Desktop app shell,main+renderer,V1,P2,todo,
UI-015,界面,交互,拖拽移动文件/文件夹,File explorer,renderer+main,V1,P1,todo,
UI-016,界面,交互,通知/Toast 系统,Desktop app shell,renderer,V1,P2,todo,
UI-017,界面,交互,模态框与确认框统一组件,Desktop app shell,renderer,V1,P3,partial,现用 window.prompt/confirm

SETTINGS-001,设置,外观,暗黑/明亮主题切换,Appearance,renderer,MVP,P1,done,
SETTINGS-002,设置,外观,主题细节（字体/字号/行高/代码字体）,Appearance,renderer,V1,P2,todo,
SETTINGS-003,设置,外观,强调色/配色方案,Appearance,renderer,V1,P2,todo,
SETTINGS-004,设置,外观,CSS snippets,Snippets,renderer,Later,P2,todo,
SETTINGS-005,设置,快捷键,快捷键总览与自定义,Hotkeys,renderer+shared,V1,P1,todo,
SETTINGS-006,设置,快捷键,快捷键冲突检测,Hotkeys,shared,V1,P2,todo,
SETTINGS-007,设置,vault,每 vault 设置（默认新建位置/附件目录等）,Vault settings,shared+main,V1,P1,todo,
SETTINGS-008,设置,高级,安全模式（禁用插件）,Safe mode,main+renderer,Later,P2,todo,

NAV-001,导航,命令,命令面板,Core: Command palette,renderer,MVP,P0,done,基础版
NAV-002,导航,命令,命令面板搜索与分组,Core: Command palette,renderer,V1,P1,todo,
NAV-003,导航,命令,命令注册与描述元数据,Core: Command palette,shared+renderer,V1,P1,todo,为插件系统做准备
NAV-004,导航,快速切换,Quick switcher（模糊搜索标题/路径）,Quick switcher,renderer,MVP,P1,done,按标题/路径模糊匹配排序
NAV-005,导航,历史,前进/后退导航,Navigation history,shared+renderer,V1,P1,todo,
NAV-006,导航,最近,最近打开文件列表,Open files,shared+renderer,V1,P2,todo,
NAV-007,导航,书签,书签/收藏,Core: Bookmarks,shared+renderer,V1,P2,todo,
NAV-008,导航,随机,随机笔记,Core: Random note,shared+renderer,Later,P3,todo,

VAULT-001,知识库,基础,打开 vault（选择文件夹）,Open vault,main+renderer,MVP,P0,done,
VAULT-002,知识库,基础,最近 vault 列表与快速切换,Open vault,shared+renderer,V1,P1,todo,
VAULT-003,知识库,基础,创建 vault（初始化配置目录）,Create vault,main,V1,P2,todo,
VAULT-004,知识库,文件系统,列出 Markdown 文件,File explorer,main,MVP,P0,done,
VAULT-005,知识库,文件系统,新建笔记,File explorer,main+renderer,MVP,P0,done,
VAULT-006,知识库,文件系统,重命名/移动笔记,File explorer,main+renderer,MVP,P0,done,
VAULT-007,知识库,文件系统,删除笔记（回收站/软删除）,Core: File recovery,main,V1,P1,todo,当前为直接删除
VAULT-008,知识库,文件系统,新建文件夹,File explorer,main+renderer,V1,P1,todo,
VAULT-009,知识库,文件系统,复制/duplicate 笔记,File explorer,main+renderer,V1,P2,todo,
VAULT-010,知识库,文件系统,文件监听（外部修改自动刷新）,Vault sync behavior,main,V1,P1,done,fs.watch 触发 vault:changed 并刷新文件列表
VAULT-011,知识库,文件系统,忽略规则（.git/自定义 ignore）,Vault settings,shared+main,V1,P2,todo,
VAULT-012,知识库,文件系统,附件目录与资源管理,Attachments,main+renderer,V1,P1,todo,
VAULT-013,知识库,文件系统,粘贴图片自动保存并插入链接,Attachments,main+renderer,V1,P1,todo,
VAULT-014,知识库,文件系统,拖拽图片/文件到编辑器导入,Attachments,main+renderer,V1,P2,todo,
VAULT-015,知识库,文件系统,文件冲突与合并提示（外部更改）,Vault sync behavior,main+renderer,V2,P2,todo,
VAULT-016,知识库,文件系统,路径安全与越权防护,Security,main,MVP,P0,done,已做基础 path traversal 防护

EDITOR-001,编辑器,模式,Markdown 源码编辑,Source mode,renderer,MVP,P0,done,CodeMirror
EDITOR-002,编辑器,模式,阅读模式（渲染预览）,Reading view,renderer,MVP,P0,done,react-markdown
EDITOR-003,编辑器,模式,Live Preview（所见即所得风格）,Live Preview,renderer,V2,P1,todo,对标 Obsidian Live Preview
EDITOR-004,编辑器,保存,自动保存,Auto save,renderer+main,MVP,P1,done,500ms debounce
EDITOR-005,编辑器,保存,手动保存与保存状态提示,Auto save,renderer,V1,P2,partial,已有 saveState 但无手动保存动作
EDITOR-006,编辑器,编辑体验,撤销/重做,Editor core,renderer,MVP,P2,partial,依赖 CodeMirror
EDITOR-007,编辑器,编辑体验,查找/替换（当前文件）,Editor search,renderer,V1,P1,todo,
EDITOR-008,编辑器,编辑体验,查找/替换（全局）,Core: Search,renderer+main,V1,P1,todo,
EDITOR-009,编辑器,编辑体验,多光标与多选编辑,Editor core,renderer,V2,P2,todo,
EDITOR-010,编辑器,编辑体验,拼写检查,Editor core,renderer,Later,P3,todo,
EDITOR-011,编辑器,编辑体验,Vim/Emacs 键位,Editor core,renderer,Later,P3,todo,
EDITOR-012,编辑器,格式化,快捷插入标题/粗体/斜体/链接,Editor commands,renderer,V1,P2,todo,
EDITOR-013,编辑器,格式化,任务列表快速切换（[ ]/[x]）,Editor commands,renderer,V1,P2,todo,
EDITOR-014,编辑器,格式化,代码块语言选择与提示,Editor commands,renderer,V2,P3,todo,
EDITOR-015,编辑器,可用性,字数/字符统计,Core: Word count,shared+renderer,MVP,P2,done,
EDITOR-016,编辑器,可用性,光标位置/行列号,Status bar,renderer,V1,P3,todo,
EDITOR-017,编辑器,可用性,行号/自动换行/缩进设置,Editor settings,renderer,V1,P2,todo,

MD-001,Markdown,语法,GitHub Flavored Markdown,Obsidian Markdown,renderer,MVP,P0,done,remark-gfm
MD-002,Markdown,语法,任务列表与表格渲染,Obsidian Markdown,renderer,MVP,P1,done,
MD-003,Markdown,语法,脚注,Obsidian Markdown,renderer,V1,P2,partial,依赖 remark-gfm 支持情况
MD-004,Markdown,语法,高亮/删除线/上下标,Obsidian Markdown,renderer,V1,P2,todo,
MD-005,Markdown,扩展,数学公式（KaTeX/MathJax）,Obsidian Math,renderer,V1,P2,todo,
MD-006,Markdown,扩展,Mermaid 图表,Obsidian Mermaid,renderer,V1,P2,todo,
MD-007,Markdown,扩展,Callouts（> [!note]）,Obsidian Callouts,renderer,V1,P1,todo,
MD-008,Markdown,扩展,代码语法高亮与复制按钮,Reading view,renderer,V1,P2,todo,
MD-009,Markdown,扩展,内部链接 hover 预览,Core: Page preview,renderer,V2,P2,todo,
MD-010,Markdown,扩展,嵌入笔记 ![[note]]（转录/引用）,Obsidian Embed,shared+renderer,V2,P1,todo,
MD-011,Markdown,扩展,嵌入区块 ![[note#^block]] ,Obsidian Block embed,shared+renderer,V2,P2,todo,
MD-012,Markdown,扩展,图片/附件渲染与路径解析,Attachments,shared+renderer,V1,P1,todo,

LINK-001,链接,WikiLink,解析与渲染 [[Note]],Obsidian Wiki links,shared+renderer,MVP,P0,done,阅读模式已支持
LINK-002,链接,WikiLink,别名 [[Note|Alias]],Obsidian Wiki links,shared+renderer,MVP,P1,done,阅读模式已支持
LINK-003,链接,WikiLink,标题引用 [[Note#Heading]],Obsidian Wiki links,shared+renderer,V1,P2,todo,当前仅解析未跳转
LINK-004,链接,WikiLink,点击内部链接打开笔记,Obsidian behavior,renderer,MVP,P0,done,不存在则自动创建
LINK-005,链接,WikiLink,链接自动补全与建议,Editor autocomplete,renderer,V1,P1,todo,
LINK-006,链接,WikiLink,重命名时更新所有引用,Core: Rename behavior,shared+main,V2,P1,todo,需要全库索引与批量编辑
LINK-007,链接,MarkdownLink,标准 Markdown 链接 [text](path.md),Obsidian Markdown,shared+renderer,V1,P1,todo,
LINK-008,链接,URI,Obsidian URI 支持（open/search）,Obsidian URI,main,V2,P2,todo,

KB-001,知识网络,反向链接,Backlinks 列表,Core: Backlinks,main+renderer,MVP,P1,done,当前为全量扫描
KB-002,知识网络,反向链接,Backlinks 增量索引（缓存） ,Core: Backlinks,shared+main,V1,P1,done,VaultIndex 维护 backlink 反向索引
KB-003,知识网络,外链面板,Outgoing links 列表,Core: Outgoing links,shared+renderer,V1,P2,todo,
KB-004,知识网络,大纲,当前笔记大纲（标题提取）,Core: Outline,shared+renderer,MVP,P1,done,
KB-005,知识网络,标签,标签解析与索引（#tag）,Core: Tags view,shared+main,V1,P1,partial,当前 inline tag 解析以 ASCII 为主
KB-006,知识网络,标签,标签面板与筛选,Core: Tags view,renderer,V1,P2,todo,
KB-007,知识网络,图谱,全局 Graph view,Core: Graph view,renderer,V1,P2,partial,当前为占位视图
KB-008,知识网络,图谱,Local graph（当前笔记邻域）,Core: Graph view,shared+renderer,V2,P2,todo,
KB-009,知识网络,图谱,图谱筛选/分组/显示选项,Core: Graph view,renderer,V2,P3,todo,
KB-010,知识网络,未链接提及,Unlinked mentions,Core: Backlinks,shared+main,Later,P3,todo,
KB-011,知识网络,块引用,Block ID 与块引用 [[note#^id]],Obsidian block reference,shared+main,V2,P2,todo,

SEARCH-001,搜索,基础,按路径/标题搜索（快速切换）,Quick switcher,renderer,MVP,P1,done,标题/路径模糊匹配
SEARCH-002,搜索,基础,全文搜索（内容索引）,Core: Search,shared+main,V1,P0,done,内存索引+增量更新（标题/路径/内容+snippet）
SEARCH-003,搜索,基础,搜索结果高亮与上下文预览,Core: Search,renderer,V1,P1,todo,
SEARCH-004,搜索,语法,搜索操作符（path: tag: file:）,Core: Search,shared+main,V2,P2,todo,
SEARCH-005,搜索,高级,正则搜索,Core: Search,shared+main,V2,P2,todo,
SEARCH-006,搜索,性能,增量索引与文件监听,Core: Search,shared+main,V1,P1,done,VaultIndex：fs.watch + token index

CORE-001,核心插件,日记,Daily notes,Core: Daily notes,shared+renderer,V1,P2,todo,
CORE-002,核心插件,模板,Templates（插入模板文件）,Core: Templates,shared+renderer,V1,P2,todo,
CORE-003,核心插件,工作区,Workspaces（保存/恢复布局）,Core: Workspaces,shared+renderer,V1,P1,todo,
CORE-004,核心插件,书签,Bookmarks（收藏与分组）,Core: Bookmarks,shared+renderer,V1,P2,todo,
CORE-005,核心插件,画布,Canvas,Core: Canvas,renderer,Later,P3,todo,复杂度高
CORE-006,核心插件,演示,Slides（Reveal.js）,Core: Slides,renderer,Later,P3,todo,
CORE-007,核心插件,录音,Audio recorder,Core: Audio recorder,main+renderer,Later,P3,todo,
CORE-008,核心插件,文件恢复,File recovery（快照/回收站）,Core: File recovery,main,Later,P2,todo,
CORE-009,核心插件,格式转换,Format converter,Core: Format converter,shared+main,Later,P3,todo,
CORE-010,核心插件,随机笔记,Random note,Core: Random note,shared+renderer,Later,P3,todo,

CUSTOM-001,自定义,主题,主题系统（内置/第三方）,Appearance/Themes,renderer,Later,P2,todo,
CUSTOM-002,自定义,主题,社区主题浏览与安装,Community themes,service+renderer,Later,P3,todo,需要网络与安全策略
CUSTOM-003,自定义,片段,CSS snippets 管理,Snippets,renderer,Later,P2,todo,
CUSTOM-004,自定义,外观,图标/外观配置（ribbon/侧栏） ,Appearance,renderer,Later,P3,todo,

PLUGIN-001,扩展,插件系统,插件加载与生命周期,Community plugins,main+shared,Later,P1,todo,微内核关键
PLUGIN-002,扩展,插件系统,命令注册（Command palette 集成）,Community plugins,shared+renderer,Later,P1,todo,
PLUGIN-003,扩展,插件系统,视图/面板注册（新增 tab type）,Community plugins,renderer,Later,P1,todo,
PLUGIN-004,扩展,插件系统,设置页扩展（插件设置项）,Community plugins,renderer,Later,P2,todo,
PLUGIN-005,扩展,插件系统,权限模型（文件/网络/系统能力）,Safe mode/Permissions,main,Later,P1,todo,
PLUGIN-006,扩展,插件系统,插件市场（浏览/安装/更新）,Community plugins,service+main,Later,P3,todo,
PLUGIN-007,扩展,插件系统,安全模式与插件隔离,Safe mode,main,Later,P2,todo,

EXPORT-001,互操作,导出,导出单篇为 HTML,Export,renderer,V2,P2,todo,
EXPORT-002,互操作,导出,导出单篇为 PDF,Export,renderer,Later,P3,todo,
EXPORT-003,互操作,导出,导出整个 vault（打包）,Export,main,Later,P3,todo,
EXPORT-004,互操作,导入,导入现有 Markdown 文件夹,Open vault,main,MVP,P0,done,直接打开文件夹即导入
EXPORT-005,互操作,导入,从 Obsidian vault 平滑迁移（兼容 .obsidian 目录）,Obsidian vault,main,V1,P2,todo,

SYNC-001,同步,本地,多设备同步（类似 Obsidian Sync）,Core: Sync,service+main,Later,P2,todo,可替代为第三方方案
SYNC-002,同步,Git,Git 版本管理集成,Community workflow,main,Later,P3,todo,
SYNC-003,同步,冲突,冲突检测与合并,Core: Sync,main,Later,P2,todo,

SEC-001,安全,运行时,上下文隔离与最小权限,Electron security,main,MVP,P0,done,contextIsolation on
SEC-002,安全,运行时,CSP 与 XSS 防护策略,Electron security,main+renderer,V1,P2,todo,
SEC-003,安全,数据,vault 加密/锁定,Security,main,Later,P3,todo,
SEC-004,安全,隐私,遥测与隐私开关,Privacy,shared+renderer,Later,P3,todo,

PERF-001,性能,索引,增量索引架构（链接/搜索/标签/元数据）,Graph/Search performance,shared+main,V1,P0,done,VaultIndex：fs.watch+缓存+token/backlink/tag 索引
PERF-002,性能,大库,大 vault 性能基准与压测,Performance,build,Later,P2,todo,
PERF-003,性能,渲染,虚拟列表（文件树/搜索结果）,Performance,renderer,V1,P2,todo,

AI-001,AI与Agent,架构,工具注册与调用框架,Assistant tool calling,main+shared,MVP,P2,partial,已实现 tool registry
AI-002,AI与Agent,界面,助手侧栏 UI,Assistant panel,renderer,MVP,P2,partial,当前为占位
AI-003,AI与Agent,连接,远程 AI 服务连接与会话,Assistant,service+renderer,Later,P2,todo,独立服务避免资源占用
AI-004,AI与Agent,能力,AI 调用应用工具（创建笔记/插入链接/改设置）,Assistant,main+shared,Later,P1,todo,需要权限与审计
AI-005,AI与Agent,能力,AI 生成知识库链接与导航指路,Assistant,shared+renderer,Later,P2,todo,
AI-006,AI与Agent,多模态,图片/音频/视频笔记生成管线,Assistant multimodal,service,Later,P1,todo,作为独立业务模块发布
AI-007,AI与Agent,RAG,本地/远程索引与检索,Assistant RAG,service+shared,Later,P2,todo,需可开关

DEV-001,工程,测试,单元测试（shared 纯逻辑）,N/A,shared,持续,P0,done,vitest
DEV-002,工程,测试,集成测试（vault/backlinks）,N/A,main,持续,P0,done,
DEV-003,工程,质量,类型检查与构建,TypeScript,build,持续,P0,done,

PROP-001,元数据,解析,YAML frontmatter 解析,Properties,shared,V1,P0,done,支持常见 YAML 子集（scalar/inline array/block list）
PROP-002,元数据,属性,属性面板（查看/编辑 properties）,Properties,renderer,V1,P1,done,右侧栏 Properties：增删改 key/value（保留未知 YAML block）
PROP-003,元数据,属性,属性类型系统（text/number/date/checkbox/list）,Properties,shared,V1,P1,todo,
PROP-004,元数据,属性,属性自动补全与建议,Properties,shared+renderer,V2,P2,todo,
PROP-005,元数据,索引,属性索引（按 key/value 查询）,Properties+Search,shared+main,V2,P1,todo,
PROP-006,元数据,索引,标签索引（#tag 与 frontmatter tags）,Tags view,shared+main,V1,P1,partial,支持 frontmatter tags + inline #tag（ASCII 为主）
PROP-007,元数据,视图,标签/属性组合过滤视图,Search/Tags,renderer,V2,P2,todo,

MEDIA-001,媒体与附件,资源,附件目录配置与管理,Attachments,shared+main,V1,P1,todo,支持 vault 内相对路径
MEDIA-002,媒体与附件,图片,图片预览与内嵌渲染,Attachments,renderer,V1,P1,todo,
MEDIA-003,媒体与附件,PDF,内置 PDF 查看器,PDF view,renderer,V1,P2,todo,
MEDIA-004,媒体与附件,音频,音频播放器与内嵌,Attachments,renderer,Later,P3,todo,
MEDIA-005,媒体与附件,视频,视频播放器与内嵌,Attachments,renderer,Later,P3,todo,
MEDIA-006,媒体与附件,交互,附件右键（在资源管理器中显示/复制路径/删除）,Attachments,main+renderer,V1,P2,todo,

COMPOSER-001,写作工具,笔记合成,提取选中内容为新笔记并回链,Core: Note composer,renderer+main,V1,P2,todo,
COMPOSER-002,写作工具,笔记合成,将当前笔记合并到目标笔记,Core: Note composer,renderer+main,Later,P3,todo,
COMPOSER-003,写作工具,链接,复制笔记链接（[[Note]]）,Core: Note composer,renderer,V1,P2,todo,
COMPOSER-004,写作工具,链接,复制标题链接（[[Note#Heading]]）,Core: Note composer,renderer,V2,P2,todo,
COMPOSER-005,写作工具,链接,复制区块链接（[[Note#^block]]）,Core: Note composer,renderer,V2,P2,todo,

WORKSPACE-001,工作区,会话,启动时恢复上次打开的标签页,Workspaces/Open files,shared+renderer,V1,P1,todo,
WORKSPACE-002,工作区,标签,固定标签页（Pin tab）,Open files,renderer,V2,P2,todo,
WORKSPACE-003,工作区,标签,堆叠标签页（Stacked tabs）,Open files,renderer,Later,P3,todo,
WORKSPACE-004,工作区,窗格,在新窗格打开（Open in new pane）,Workspaces panes,renderer,V2,P1,todo,

ACCESS-001,可访问性,键盘,全局键盘可达（侧栏/标签/命令面板）,Accessibility,renderer,V1,P2,todo,
ACCESS-002,可访问性,视觉,可见焦点样式与对比度检查,Accessibility,renderer,V1,P2,todo,
ACCESS-003,可访问性,语义,无障碍标签（aria-label）与朗读顺序,Accessibility,renderer,V1,P2,todo,

I18N-001,国际化,语言,UI 文案国际化框架,Localization,renderer,V2,P3,todo,
I18N-002,国际化,语言,中英双语切换,Localization,renderer,V2,P3,todo,
